brand,colour,model,mrp,name,price,sizes,symbol
 RedTape, BLACK, RKS0001,1199.0,RedTape Kid's Black Sliders,359.0,"1,2,11,12,13",₹
 RedTape, BLACK, RTK0191,3699.0,RedTape Unisex Kids Black Sports Shoes,1109.0,13,₹
 RedTape, BLACK, RTK0321,4699.0,RedTape Kids-Unisex Black Walking Shoes,1409.0,"11,12,13",₹
 RedTape, PINK , RTK0343,4699.0,RedTape Kids-Unisex Pink Walking Shoes,1409.0,"1,2,3,4,5,11,12,13",₹
 RedTape, BLACK &amp; GREY, RTK0181A,4499.0,RedTape Kids-Unisex Black Walking Shoes,1349.0,"1,2,3,4,5,11,12,13",₹
 RedTape, BLUE/PINK, RTK0193B,4499.0,RedTape Kids-Unisex Blue Walking Shoes,1349.0,"1,2,3,4,5,11,12,13",₹
 RedTape, NAVY  , RTK0204A,4599.0,RedTape Kids-Unisex Navy Walking Shoes,1379.0,"2,3,12",₹
 RedTape, PINK , RTK0203A,4599.0,RedTape Kids-Unisex Pink Walking Shoes,1379.0,"1,2,3,4,5,11,12,13",₹
 RedTape, WHITE  , RTK0225A,4599.0,RedTape Kids-Unisex White Walking Shoes,1379.0,"2,3,4,5,11,12,13",₹
 RedTape, BLUE, RTK0226A,4599.0,RedTape Kids-Unisex Blue Walking Shoes,1379.0,"1,2,3,4,5,11,12,13",₹
 RedTape, BLACK &amp; GREY, RTK0181A,4499.0,RedTape Kids-Unisex Black Walking Shoes,1349.0,"1,2,3,4,5,11,12,13",₹
 RedTape, White/Light Green, RTK0185B,4499.0,RedTape Kids-Unisex White Walking Shoes,1349.0,"1,2,3,4,5,11,12,13",₹
 RedTape, BLACK, RTK0251A,4299.0,RedTape Unisex Kids Black Sports Shoes,1289.0,"11,12,13",₹
 RedTape, NAVY  , RTK0254A,4299.0,RedTape Unisex Kids Navy Sports Shoes,1289.0,"1,2,3,4,11,12,13",₹
 RedTape, BLACK, RTK0321,4699.0,RedTape Kids-Unisex Black Walking Shoes,1409.0,"11,12,13",₹
 RedTape, PINK , RTK0343,4699.0,RedTape Kids-Unisex Pink Walking Shoes,1409.0,"1,2,3,4,5,11,12,13",₹
 RedTape, BLACK, RTK0261A,4299.0,RedTape Unisex Kids Black Sports Shoes,1289.0,"1,2,3,4,11,12,13",₹
 RedTape, White/Light Green, RTK0185B,4499.0,RedTape Kids-Unisex White Walking Shoes,1349.0,"1,2,3,4,5,11,12,13",₹
 RedTape, WHITE  , RTK0225A,4599.0,RedTape Kids-Unisex White Walking Shoes,1379.0,"2,3,4,5,11,12,13",₹
 RedTape, BLUE/PINK, RTK0193B,4499.0,RedTape Kids-Unisex Blue Walking Shoes,1349.0,"1,2,3,4,5,11,12,13",₹
 RedTape, BLUE, RTK0226A,4599.0,RedTape Kids-Unisex Blue Walking Shoes,1379.0,"1,2,3,4,5,11,12,13",₹
 RedTape, PINK , RTK0203A,4599.0,RedTape Kids-Unisex Pink Walking Shoes,1379.0,"1,2,3,4,5,11,12,13",₹
